title,word,meaning
Places,בית קולנוע,cinema
Places,עיר בירה,capital city
Places,קהילה,community
Places,נמל,port
Places,גשר,bridge
Places,מערב,west
Places,מזרח,east
Places,צפון,north
Places,דרום,south
Places,כיכר,"square, roundabout"
Places,חווה,farm
Places,גן חיות,zoo
Places,שוק,market
People,אדם,"man, Adam"
People,חבר,friend (m)
People,חברה,friend (f)
People,ידיד,friend (m) - casual
People,ידידה,friend (f) - casual
People,ציבור,public
People,ועדה,committee
People,כנס,convention
People,אויב,enemy
People,תרבות,culture
People,מערכת יחסים,relationship
People,אוכלוסייה,population
People,נוער,youth
People,אנשים,people
People,פרט,individual
People,נער,"boy, teenager"
People,קורבן,victim
People,אזרח,citizen
People,זוג,couple
People,ישראלי,Israeli
People,צרפתי,French
People,אמריקאי,American
People,אנגלי,English
People,אוסטרלי,Australian
People,רוסי,Russian
People,ספרדי,"Spanish, Spaniard"
People,עַם,nation
Numbers 2,ראשון,first
Numbers 2,שני,second (ordinal)
Numbers 2,שלישי,third
Numbers 2,רביעי,fourth
Numbers 2,חמישי,fifth
Numbers 2,שישי,sixth
Numbers 2,שביעי,seventh
Numbers 2,שמיני,eighth
Numbers 2,תשיעי,ninth
Numbers 2,עשירי,tenth
Numbers 2,שלושים,thirty
Numbers 2,ארבעים,forty
Numbers 2,חמישים,fifty
Numbers 2,שישים,sixty
Numbers 2,שבעים,seventy
Numbers 2,שמונים,eighty
Numbers 2,תשעים,ninety
Numbers 2,מאה,hundred
Numbers 2,מאתיים,two hundred
Numbers 2,אלף,thousand
Numbers 2,אלפיים,two thousand
Numbers 2,מיליון,million
Numbers 2,מיליארד,billion
Numbers 2,ממוצע,average
Numbers 2,אחוז,"percent, percentage"
Numbers 2,חצי,half
Numbers 2,רוב,"majority, most"
Numbers 2,כמות,quantity
Numbers 2,סך הכל,"total, overall"
Education,מורָה,teacher (f)
Education,מורֶה,teacher (m)
Education,פתק,note
Education,עט,pen
Education,קורס,course (education)
Education,חינוך,education
Education,שיעור,lesson
Education,ספרייה,library
Education,מבחן,"test, exam"
Education,לימוד,study
Education,דוגמה,example
Education,עיפרון,pencil
Education,שיעורי בית,homework
Education,כיתה,"classroom, class"
Education,מילה,word
Education,ידע,knowledge
Education,פרק,"chapter, episode"
Education,מצגת,presentation
Education,רעיון,idea
Education,אוניברסיטה,university
Education,הרצאה,lecture
Education,פרופסור,professor
Education,תואר,degree
Education,סטודנט,student
Education,מרצה,lecturer
Education,דוקטורט,"doctorate, PhD"
Education,הכנה,preparation
Education,מטרה,"target, objective"
Education,משמעות,meaning
Education,ללמד,to teach
Education,לתרגל,to practice
Education,היסטוריה,history
Education,ציור,"painting, drawing"
Education,מסמך,document
Education,עמוד,page
Education,הסבר,explanation
Education,תוכנית,"plan, program"
Education,קושי,difficulty
Travel,לטייל,to travel
Travel,מכונית,car
Travel,אופניים,"bike, bicycle"
Travel,מזוודה,suitcase
Travel,אוטובוס,bus
Travel,אופנוע,"motorbike, bike"
Travel,לרכב,to ride (a bike)
Travel,חופשה,vacation
Travel,רכבת,train
Travel,סירה,boat
Travel,מטוס,plane
Travel,לנהוג,to drive
Travel,רציף,"pier, dock, platform"
Travel,לשוט,to sail
Travel,לטוס,to fly (in a plane)
Travel,תחנת רכבת,train station
Travel,תחנת אוטובוס,bus station
Travel,מפה,map
Travel,תיק גב,backpack
Travel,ספינה,ship
Travel,קו,line
Travel,מדריך,guide
Travel,לנסוע,"to drive, to travel, to go"
Travel,להפליג,to sail
Travel,טיול,trip
Travel,ארצות הברית,the United States
Travel,ביקור,visit
Travel,הרפתקה,adventure
Travel,טיסה,flight
Travel,תחבורה,transportation
Travel,רכב,vehicle
Travel,רכבת תחתית,subway
Travel,מסע,"voyage, journey"
Travel,המזרח התיכון,the Middle East
Travel,הים התיכון,the Mediterranean
Travel,ארץ,"land, country"
Travel,צרפת,France
Travel,ספרד,Spain
Travel,אנגליה,England
Travel,יוון,Greece
Travel,גרמניה,Germany
Travel,מצרים,Egypt
Travel,רוסיה,Russia
Travel,סין,China
Travel,עולם,world
Travel,יבשת,continent
Travel,אירופה,Europe
Travel,אמריקה,America
Travel,אפריקה,Africa
Travel,אוסטרליה,Australia
Travel,אסיה,Asia
Travel,דרכון,passport
Travel,דלק,"fuel, petrol"
Travel,תייר,tourist
Travel,חוץ לארץ,"overseas, abroad"
Travel,בין-לאומי,international
Travel,אירופאי,European
Comparison,יותר,more
