#separator:tab
#html:false
Breaks, Shatters (Qal)	שובר	shover
Steals (Qal)	גונב	gonev
Turns (Over/Into) (Qal)	הופך	hofekh
Escapes, Runs Away (Qal)	בורח	boreakh
Knows (Recognizes) (Hifil)	מכיר	makir
Answers, Replies (Qal)	עונה	oneh
Colour	צבע	tzeva
Red (m.s)	אדום	adom
Orange (Colour) (m.s)	כתום	katom
Black (m.s)	שחור	sh'khor
White (m.s)	לבן	leven
Blue (m.s)	כחול	kakhol
Yellow (m.s)	צהוב	tzahov
Green (m.s)	ירוק	yarok
Grey (m.s)	אפור	afor
Brown (m.s)	חום	khum
Pink (m.s)	ורוד	yarod
Colourful (m.s)	צבעוני	tziv'oni
Purple (m.s)	סגול	sagol
To Paint, Colour, Tint (Qal)	לצבוע	litz'boa
In	ב...	b'-
From	מ...	mi-
For	בשביל	bish'vili
With	עם	im
Next/Adjacent To	ליד	l'yad
Inside	בתוך	b'tokh
Against	נגד	neged
With Me	איתי	iti
With Her	איתה	itah
With Him	איתו	ito
With Us	איתנו	itanu
Number	מספר	mispar
Zero; Nothing	אפס	ofes
One (m)	אחד	ekhad
Two (m)	שניים	sh'tayim
Three (m)	שלושה	sh'loshah
Four (m)	ארבעה	ar'ba'ah
Five (m)	חמישה	khamishah
Six (m)	שישה	shishah
Seven (m)	שבעה	shiv'ah
Eight (m)	שמונה	sh'monah
Nine (m)	תשעה	tish'ah
Ten (m)	עשרה	asarah
Eleven (m)	אחד עשר	akhad asar
Twelve (m)	שנים עשר	sh'neim asar
Thirteen (m)	שלושה עשר	sh'loshah asar
One (f)	אחת	akhat
Two (f)	שתיים	sh'nayim
Three (f)	שלוש	shilush
Four (f)	ארבע	arba
Five (f)	חמש	khamesh
Six (f)	שש	shesh
Seven (f)	שבע	save'a
Eight (f)	שמונה	sh'moneh
Nine (f)	תשע	tesha
Ten (f)	עשר	eser
Eleven (f)	אחת עשרה	akhat esreh
Twelve (f)	שתים עשרה	sh'teim esreh
Thirteen (f)	שלוש עשרה	sh'losh esreh
More	יותר	yoter
Less	פחות	pikhut
Too Much/Many	יותר מדי	yoter midai
A lot, Many, Much	הרבה	harbe
Too, Overly	מדי	midai
Twenty	עשרים	esr'im
To Count (Qal)	לספור	lis'por
Answer, Reply, Solution	תשובה	t'shuvah
Question, Query; Matter (colloq.)	שאלה	sh'elah
What?	מה?	mah
Where?	איפה?	eifo
Why?	למה?	lamah
How Much/Many?	כמה?	kamah
Who?	מי?	mi
Where From?	מאיפה?	me'eifoh
When?	מתי?	matai
How?	איך?	eikh
Whose?	של מי?	shel mi
Which? (m)	איזה?	eizeh
Which? (f)	איזו?	eizoh
In Which?	באיזה?	b'eizah
With Who?	עם מי?	im mi
Where To?	לאן?	l'an
To Who?	למי?	l'mi
From Who?	ממי?	mimi
What For?	בשביל מה?	bash'vil mah
Whom?	את מי?	eilu
Which? (pl.)	אילו?	eilu
To Ask (Qal)	לשאול	lish'ol
To Answer, Reply (Qal)	לענות	la'anot
This (m) (formal)	הזה	hazeh
Everyone (m)	כולם	kulam
Any (Neg. Sentence)	שום	shum
Something	משהו	mashehu
Someone, Somebody	מישהו	mishehu
Everything, All	הכל	hakol
This (f) (formal)	הזאת	hazot
Everyone (f)	כולן	kulan
Other (One) (m.s)	אחר	akher
So, Thus	ככה	kakhah
These	האלו	haelu
All Of Them (f.p)	כולן	kulan
Nobody, Not One	אף אחד	af ekhad
These (Pron)	אלה	eleh
All, Any, Every	כל	kol
Like This	כזה	kazeh
These	אלו	elu
Nothing	שום דבר	shum davar
Nothing But	שום דבר מלבד	shum daver mil'vad
Both	שניהם	sh'neihem
The Same	אותו ה-	oto b-
Student	תלמיד	talmid
Doctor	רופא	rofe
Author	סופר	super
Profession	מקצוע	miktzo'a
Model	דוגמן	dugman
Director	במאי	bamai
Career	קריירה	kar'yerah
Crew, Team, Staff	צוות	zevet
Artist	אמן	aman
Secretary	מזכיר	mazkir
Painter	צייר	tzayar
Judge, Referee	שופט	shofet
Lawyer	עורך דין	orekh din
Worker	פועל	po'el
Policeman	שוטר	shoter
Officer	קצין	katzin
Journalist	עיתונאי	itona'i
Soldier	חייל	khayal
Captain	קברניט	kabarnit
Boss	בוס	bos
Guard	שומר	shumar
Actor, Player	שחקן	sakh'kan
Driver	נהג	nehag
Cook	טבח	tevakh
Waiter	מלצר	mel'tzar
Engineer	מהנדס	m'handes
Architect	אדריכל	ad'rikhal
Farmer	חקלאי	khakla'i
Work	עבודה	avodah
Police	משטרה	mishtarah
Internship, Apprenticeship	התמחות	hit'makhut
Already	כבר	k'var
If	אם	im
But	אבל	aval
Because	כי	ki
Still	עדיין	adayin
Also	גם	gam
Even though	אף על פי	af al pi
Despite	למרות	lim'rot
Only	רק	rak
Except for...	חוץ מ...	khutz
While	בזמן ש...	baz'man sh...
When	מתי ש...	matai sh...
So	אז	az
So, That's Why	לכן	lakhen
When	כש...	k'she
After That	אחרי ש	akharei sh
But, However, Nevertheless	אך	akh
Before That	לפני ש	lif'nei sh
But, Only, However	אלא	ela
Also, Even	אף	af
Even	אפילו	afilu
Outside	בחוץ	bakhutz
Inside	בפנים	bifnim
Across, Against (Prep)	מול	mul
Between (Prep)	בין	bein
To (Prep)	אל	el
On (Prep)	על	al
Before (Prep)	לפני	lifnei
After (Prep)	אחרי	akharei
At, In the Possession Of (Prep)	אצל	etzel
Behind (Prep)	מאחורי	me'akhorei
Below, Underneath (Prep)	מתחת	mitakhat
Above (Prep)	מעל	me'al
Only (Stressed; Emphatic)	אך ורק	akh v'rak
Without (Conj)	בלי	b'li
To Be Found, Present (Nifal)	נמצא	nim'tza
